# corpus-wide term-usage Pareto over all 32 class corpora (14M text)
# generated by scripts/term-pareto.sh products/*/*/

RANK  COUNT    CUM%    TERM
269   289      79.0    tuple
270   289      79.0    environment
271   288      79.1    exceptions
272   284      79.2    abstract syntax tree
273   283      79.2    hybrid system
274   281      79.3    tag
275   279      79.4    external
276   275      79.5    transaction
277   274      79.5    construction
278   273      79.6    linear logic
279   272      79.7    dynamics
280   270      79.7    locality
281   270      79.8    kernel
282   269      79.9    loop invariant
283   269      80.0    compile
284   261      80.0    satisfiability
285   260      80.1    precondition
286   260      80.2    differential cut
287   258      80.2    structural induction
288   257      80.3    handle
289   255      80.4    dictionary
290   255      80.4    conflict
291   254      80.5    control flow graph
292   253      80.6    deterministic finite automaton
293   252      80.6    dfa
294   251      80.7    debugging
295   251      80.7    caller
296   249      80.8    literal
297   249      80.9    having
298   248      80.9    float
299   247      81.0    span
300   247      81.1    lattice
301   246      81.1    outcome
302   246      81.2    interpreter
303   245      81.3    parser
304   245      81.3    delete
305   245      81.4    basic block
306   244      81.4    throw
307   242      81.5    parsing
308   241      81.6    inference rule
309   240      81.6    intermediate representation
310   235      81.7    game logic
311   234      81.8    static analysis
312   234      81.8    completeness
313   234      81.9    append
314   232      81.9    congruence
315   229      82.0    polymorphism
316   227      82.1    intermediate form
317   226      82.1    virtual memory
318   226      82.2    signal
319   226      82.2    overflow
320   224      82.3    terminal
321   224      82.3    parallelism
322   224      82.4    combination
323   220      82.5    nondeterministic finite automaton
324   220      82.5    nfa
325   220      82.6    curr
326   220      82.6    coalescing
327   218      82.7    sat
328   218      82.7    coverage
329   218      82.8    continue
330   218      82.9    computer science
331   214      82.9    alias
332   212      83.0    yield
333   212      83.0    binary search
334   211      83.1    database
335   210      83.1    induction hypothesis
336   210      83.2    control-flow graph
337   208      83.2    recursive call
338   207      83.3    function call
339   206      83.3    variant
340   206      83.4    arraylist
341   205      83.5    group by
342   205      83.5    conjunction
343   203      83.6    validation
344   203      83.6    failure
345   201      83.7    executable
346   200      83.7    focusing
347   199      83.8    the heap
348   199      83.8    progress
349   197      83.9    software analysis
350   196      83.9    random variable
351   196      84.0    inversion
352   196      84.0    fault
353   195      84.1    successor
354   195      84.1    operational semantics
355   195      84.2    command
356   194      84.2    data type
357   193      84.3    selection
358   193      84.3    abstract syntax
359   191      84.4    internet
360   190      84.4    type system
361   190      84.5    production
362   189      84.5    switch
363   188      84.6    relationship
364   187      84.6    comment
365   186      84.7    capture
366   184      84.7    boyce-codd normal form
367   181      84.8    sorting
368   181      84.8    for loop
369   180      84.9    functor
370   179      84.9    subtree
371   179      84.9    lambda calculus
372   179      85.0    abstract data type
373   178      85.0    inheritance
374   178      85.1    filter
375   178      85.1    composition
376   178      85.2    assertion
377   177      85.2    differential game logic
378   174      85.3    leaf
379   174      85.3    inductive step
380   174      85.4    chaining
381   174      85.4    atomic
382   170      85.4    degree
383   170      85.5    bind
384   169      85.5    bucket
385   168      85.6    system call
386   168      85.6    partition
387   168      85.7    np
388   167      85.7    termination
389   167      85.7    pairs
390   167      85.8    negation
391   167      85.8    mutable
392   167      85.9    inductive hypothesis
393   166      85.9    union
394   165      86.0    contradiction
395   163      86.0    str
396   163      86.0    sizeof
397   161      86.1    return value
398   161      86.1    guard
399   161      86.2    dynamic semantics
400   160      86.2    protocol
401   159      86.3    syntactic
402   159      86.3    stack frame
403   159      86.3    precision
404   156      86.4    true positive
405   155      86.4    implements
406   154      86.5    register allocation
407   151      86.5    worst case
408   151      86.5    sample space
409   151      86.6    prefix
410   149      86.6    well-typed
411   149      86.7    two-phase locking
412   149      86.7    disjunction
413   147      86.7    page table
414   147      86.8    factorial
415   146      86.8    create table
416   145      86.8    while loop
417   144      86.9    hoare logic
418   144      86.9    first-order logic
419   144      87.0    expectation
420   143      87.0    onto
421   142      87.0    super
422   142      87.1    cmp
423   139      87.1    local variable
424   138      87.1    cast
425   137      87.2    sign
426   137      87.2    data race
427   137      87.2    binary tree
428   136      87.3    page-table entry
429   134      87.3    #define
430   134      87.3    address space
431   133      87.4    prior
432   132      87.4    permutation
433   132      87.4    model checking
434   132      87.5    fold
435   131      87.5    instruction scheduling
436   130      87.6    λ-calculus
437   130      87.6    stronger
438   130      87.6    pointer analysis
439   130      87.7    cut reduction
440   129      87.7    floating point
441   129      87.7    alignment
442   128      87.8    typedef
443   128      87.8    boundary
444   127      87.8    validity
445   127      87.8    proof term
446   127      87.9    precedence
447   127      87.9    independence
448   127      87.9    differential dynamic logic
449   126      88.0    elimination rule
450   125      88.0    why3
451   125      88.0    weakening
452   125      88.1    template
453   125      88.1    normal form
454   125      88.1    nested loop
455   125      88.2    natural deduction
456   125      88.2    linked list
457   125      88.2    isolation levels
458   125      88.3    cut elimination
459   124      88.3    efficiency
460   124      88.3    buffer overflow
461   123      88.4    transfer function
462   123      88.4    pipelining
463   122      88.4    admissibility
